Protocol,Category,Headcount,Annual_Expenses,Annual_Revenue,TVL,Rev/Head,Margin_(%),Rev_Per_Employee,Operating_Margin,Revenue_per_TVL,Burn_Phase,TVL_live,Category_live,Health_Score_v2,Efficiency_Cluster,Cluster_Name,Implied_FDV_Low,Implied_FDV_High
Sky Lending,Lending,97,27660000.0,300000000.0,6000000000.0,$3.09M,90.80%,3092783.505154639,0.9078,0.05,False,7096684698.601727,CDP,46.965022788931094,0,Lean Automators,704475341.8339664,1690740820.4015193
Aave,Lending,25,18070000.0,200000000.0,20000000000.0,$8.00M,91.00%,8000000.0,0.90965,0.01,False,,,68.14292105263158,0,Lean Automators,681429210.5263158,1635430105.2631578
Lido,Liquid Staking,83,16810000.0,80000000.0,30000000000.0,$0.96M,79.00%,963855.421686747,0.789875,0.0026666666666666666,False,19915604272.045677,Liquid Staking,28.74310605580216,3,Revenue Beasts,114972424.22320864,275933818.1357007
Uniswap,DEX,120,45000000.0,800000000.0,5000000000.0,$6.67M,94.40%,6666666.666666667,0.94375,0.16,False,,,75.3005701754386,0,Lean Automators,3012022807.017544,7228854736.842105
PancakeSwap,DEX,45,12000000.0,150000000.0,2000000000.0,$3.33M,92.00%,3333333.3333333335,0.92,0.075,False,,,50.66732456140352,0,Lean Automators,380004934.21052635,912011842.1052632
Curve,DEX,20,5000000.0,7000000.0,2000000000.0,$0.35M,28.60%,350000.0,0.2857142857142857,0.0035,False,,,10.620125939849622,3,Revenue Beasts,3717044.0789473676,8920905.789473683
Morpho,Lending,25,6000000.0,0.0,4000000000.0,$0,-100%,0.0,,0.0,True,,,1.0,3,Revenue Beasts,0.0,0.0
Maple,Lending,15,8540000.0,13880000.0,107000000.0,$0.93M,38.50%,925333.3333333334,0.38472622478386165,0.1297196261682243,False,2279304025.06289,Lending,27.238999401328606,1,High Burn,18903865.584522054,45369277.40285293
Sushi,DEX,15,5220000.0,12000000.0,450000000.0,$0.80M,56.50%,800000.0,0.565,0.02666666666666667,False,,,23.22578947368421,3,Revenue Beasts,13935473.684210524,33445136.84210526
Badger DAO,Yield,15,4170000.0,2500000.0,180000000.0,$0.17M,-66.80%,166666.66666666666,-0.668,0.013888888888888888,True,8628530.648395628,Yield Aggregator,2.0186403508771926,3,Revenue Beasts,252330.04385964907,605592.1052631577
Yearn Finance,Yield,25,3810000.0,587381.0,250000000.0,$0.02M,-548%,23495.24,-5.486420228097265,0.002349524,True,233590961.91812217,Yield Aggregator,1.0,2,Balanced Growers,29369.05,70485.72
Beefy,Yield,20,2530000.0,10000000.0,220000000.0,$0.50M,74.70%,500000.0,0.747,0.045454545454545456,False,143693227.12188408,Yield Aggregator,28.789186602870814,3,Revenue Beasts,14394593.301435407,34547023.92344498
Inverse Finance,Lending,11,1400000.0,3800000.0,10810000.0,$0.35M,63.20%,345454.54545454547,0.631578947368421,0.3515263644773358,False,,,50.674641148325364,1,High Burn,9628181.818181818,23107636.363636363
Gearbox,Lending,13,893760.0,157356.0,100000000.0,$0.01M,-467%,12104.307692307691,-4.679859681232365,0.00157356,True,47513708.26078369,Lending,1.0,2,Balanced Growers,7867.8,18882.72
Marinade,Liquid Staking,8,834000.0,5000000.0,1500000000.0,$0.63M,83.30%,625000.0,0.8332,0.0033333333333333335,False,,,28.40547368421053,3,Revenue Beasts,7101368.421052633,17043284.210526317
Olympus DAO,Reserve,8,820369.0,1200000.0,150000000.0,$0.15M,31.60%,150000.0,0.3163591666666667,0.008,False,0.0,Reserve Currency,10.923511842105263,3,Revenue Beasts,655410.7105263157,1572985.7052631578
Compound,Lending,20,8000000.0,45000000.0,2500000000.0,$2.25M,82.20%,2250000.0,0.8222222222222222,0.018,False,,,37.4528245614035,3,Revenue Beasts,84268855.26315787,202245252.63157892
Synthetix,Derivatives,35,10000000.0,35000000.0,500000000.0,$1.00M,71.40%,1000000.0,0.7142857142857143,0.07,False,,,32.40251879699248,3,Revenue Beasts,56704407.89473684,136090578.9473684
GMX,Derivatives,15,4500000.0,120000000.0,600000000.0,$8.00M,96.30%,8000000.0,0.9625,0.2,False,,,85.94342105263158,0,Lean Automators,515660526.31578946,1237585263.1578946
dYdX,Derivatives,50,15000000.0,90000000.0,400000000.0,$1.80M,83.30%,1800000.0,0.8333333333333334,0.225,False,,,53.20197368421052,1,High Burn,239408881.57894737,574581315.7894737
Jupiter,Aggregator,40,12000000.0,60000000.0,1200000000.0,$1.50M,80.00%,1500000.0,0.8,0.05,False,,,35.767105263157895,3,Revenue Beasts,107301315.78947368,257523157.89473683
Instadapp,Services,12,3000000.0,2000000.0,2100000000.0,$0.17M,-50.00%,166666.66666666666,-0.5,0.0009523809523809524,True,,,1.0,3,Revenue Beasts,100000.0,240000.0
EigenLayer,Restaking,60,20000000.0,0.0,15000000000.0,$0,-100%,0.0,,0.0,True,,,1.0,3,Revenue Beasts,0.0,0.0
Pendle,Yield,18,4000000.0,12000000.0,3000000000.0,$0.67M,66.70%,666666.6666666666,0.6666666666666666,0.004,False,2125710656.5257292,Yield,23.674701754385964,3,Revenue Beasts,14204821.052631577,34091570.526315786
Frax,Stablecoin,20,6000000.0,25000000.0,2000000000.0,$1.25M,76.00%,1250000.0,0.76,0.0125,False,61486455.34340305,Algo-Stables,30.116776315789473,3,Revenue Beasts,37645970.39473684,90350328.94736841
Rocket Pool,Liquid Staking,15,3500000.0,5000000.0,4000000000.0,$0.33M,30.00%,333333.3333333333,0.3,0.00125,False,1258279884.511204,Liquid Staking,10.773344298245613,3,Revenue Beasts,2693336.074561403,6464006.578947368
Ethena,Stablecoin,25,8000000.0,110000000.0,2500000000.0,$4.40M,92.70%,4400000.0,0.9272727272727272,0.044,False,,,53.57323444976076,0,Lean Automators,294652789.4736842,707166694.7368422
Thorchain,Bridge,20,5000000.0,40000000.0,800000000.0,$2.00M,87.50%,2000000.0,0.875,0.05,False,,,40.5171052631579,3,Revenue Beasts,81034210.52631581,194482105.26315793
Balancer,DEX,25,7000000.0,8000000.0,1000000000.0,$0.32M,12.50%,320000.0,0.125,0.008,False,,,6.032736842105263,3,Revenue Beasts,2413094.736842105,5791427.368421053
Radiant,Lending,15,3000000.0,15000000.0,600000000.0,$1.00M,80.00%,1000000.0,0.8,0.025,False,,,31.133552631578947,3,Revenue Beasts,23350164.47368421,56040394.7368421
Quickswap,DEX,10,1500000.0,10000000.0,150000000.0,$1.00M,85.00%,1000000.0,0.85,0.06666666666666667,False,,,36.189473684210526,3,Revenue Beasts,18094736.842105262,43427368.421052635
Velodrome,DEX,12,2000000.0,18000000.0,200000000.0,$1.50M,88.90%,1500000.0,0.8888888888888888,0.09,False,,,41.84745614035087,1,High Burn,37662710.526315786,90390505.26315787
Aevo,Derivatives,20,6000000.0,25000000.0,100000000.0,$1.25M,76.00%,1250000.0,0.76,0.25,False,,,50.38552631578948,1,High Burn,62981907.89473684,151156578.9473684
Lyra,Options,15,4000000.0,2000000.0,50000000.0,$0.13M,-100%,133333.33333333334,-1.0,0.04,True,,,4.080350877192982,3,Revenue Beasts,408035.0877192982,979284.2105263157
Liquity,Lending,10,2500000.0,1500000.0,600000000.0,$0.15M,-66.70%,150000.0,-0.6666666666666666,0.0025,True,,,1.0,3,Revenue Beasts,75000.0,180000.0
Convex,Yield,10,2000000.0,5000000.0,3000000000.0,$0.50M,60.00%,500000.0,0.6,0.0016666666666666668,False,,,20.642236842105262,3,Revenue Beasts,5160559.2105263155,12385342.105263159
Stargate,Bridge,20,5500000.0,15000000.0,1000000000.0,$0.75M,63.30%,750000.0,0.6333333333333333,0.015,False,,,24.030131578947366,3,Revenue Beasts,18022598.684210524,43254236.84210526
LayerZero,Omnichain,80,30000000.0,0.0,0.0,$0,-100%,0.0,,,True,,Bridge,1.0,3,Revenue Beasts,0.0,0.0
Renzo,Restaking,20,5000000.0,0.0,3000000000.0,$0,-100%,0.0,,0.0,True,396036320.1847905,Liquid Restaking,1.0,3,Revenue Beasts,0.0,0.0
Etherfi,Restaking,25,7000000.0,0.0,6000000000.0,$0,-100%,0.0,,0.0,True,,,1.0,3,Revenue Beasts,0.0,0.0
Camelot,DEX,8,1200000.0,15000000.0,100000000.0,$1.88M,92.00%,1875000.0,0.92,0.15,False,,,49.776315789473685,1,High Burn,37332236.84210526,89597368.42105263
Metamorph,Lending,12,2500000.0,500000.0,50000000.0,$0.04M,-400%,41666.666666666664,-4.0,0.01,True,,,1.0617543859649121,2,Balanced Growers,26543.8596491228,63705.263157894726
Aerodrome,DEX,15,3000000.0,45000000.0,600000000.0,$3.00M,93.30%,3000000.0,0.9333333333333333,0.075,False,,,49.400657894736845,1,High Burn,111151480.2631579,266763552.63157895
Jito,Liquid Staking,15,4000000.0,25000000.0,1800000000.0,$1.67M,84.00%,1666666.6666666667,0.84,0.013888888888888888,False,,,34.718640350877195,3,Revenue Beasts,43398300.438596494,104155921.05263159
Benqi,Lending,12,2000000.0,6000000.0,300000000.0,$0.50M,66.70%,500000.0,0.6666666666666666,0.02,False,,,24.206842105263153,3,Revenue Beasts,7262052.631578946,17428926.31578947
Venus,Lending,20,5000000.0,35000000.0,1500000000.0,$1.75M,85.70%,1750000.0,0.8571428571428571,0.023333333333333334,False,,,36.4556015037594,3,Revenue Beasts,63797302.63157894,153113526.31578946
Osmosis,DEX,30,8000000.0,12000000.0,600000000.0,$0.40M,33.30%,400000.0,0.3333333333333333,0.02,False,,,13.706842105263156,3,Revenue Beasts,8224105.263157894,19737852.631578945
Orca,DEX,12,2500000.0,25000000.0,200000000.0,$2.08M,90.00%,2083333.3333333333,0.9,0.125,False,,,48.084429824561404,1,High Burn,60105537.28070176,144253289.47368422
Raydium,DEX,15,3000000.0,85000000.0,1000000000.0,$5.67M,96.50%,5666666.666666667,0.9647058823529412,0.085,False,,,64.52858875128999,0,Lean Automators,274246502.19298244,658191605.2631578
Loopring,L2,25,6000000.0,2000000.0,150000000.0,$0.08M,-200%,80000.0,-2.0,0.013333333333333334,True,11227046.552773064,Dexs,1.5378947368421052,3,Revenue Beasts,153789.47368421053,369094.7368421053
